1000	0.00773814389813845 0.254262250066666	0.00753713773248293
1200	0.00700602796466471 0.250372742946479	0.0114266448526702
1400	0.00653480741776069 0.265805095311034	0.00400570751188473
1600	0.00605744818189697 0.25559705517057	0.00620233262857928
1800	0.00591597153842406 0.265210752010959	0.0034113642118091
2000	0.0055367523681731 0.261904864971277	0.000105477172127555
2200	0.00514575961469644 0.256549400142616	0.00524998765653295
2400	0.0050206489195698 0.268389247346237	0.00658985954708785
2600	0.00474026895114754 0.255310568409272	0.00648881938987733
2800	0.00459423022069351 0.267323619935268	0.00552423213611902
3000	0.00439719377718486 0.260266857157568	0.00153253064158143
3200	0.00448331603776861 0.268481176713687	0.00668178891453791
3400	0.0042133818976364 0.261097204678825	0.000702183120324829
3600	0.00411732131788718 0.266737193975544	0.00493780617639422
3800	0.00407975542144019 0.267258603492136	0.00545921569298641
4000	0.00391867534536866 0.262661201193718	0.000861813394568423
4200	0.00384093942777442 0.263287398026998	0.00148801022784817
4400	0.00368428905800499 0.262557259265964	0.000757871466814219
4600	0.00367666693870375 0.265361826490324	0.00356243869117456
4800	0.00351017716733751 0.265140044119261	0.00334065632011138
5000	0.00348102733775688 0.266508602732714	0.00470921493356508
5200	0.00337623429651284 0.258317691221931	0.00348169657721864
5400	0.00330054745958016 0.260126890688619	0.0016724971105308
5600	0.00332876087647415 0.262180155756071	0.000380767956921713
5800	0.00317289062321655 0.258329212691289	0.00347017510786046
6000	0.00311369715614887 0.254363338699645	0.00743604909950485
6200	0.00308650369676045 0.261387957617733	0.000411430181416761
6400	0.00308212429890395 0.25999887572029	0.00180051207885978
6600	0.00299004706593835 0.257165328003927	0.00463405979522213
6800	0.00293581629748962 0.257002667801337	0.00479671999781217
7000	0.00296804961461142 0.264374306334774	0.00257491853562436
7200	0.00288205746182867 0.260492675846101	0.00130671195304827
7400	0.00279042409567395 0.259156608617337	0.00264277918181238
7600	0.00280763372620113 0.259664129575098	0.00213525822405097
7800	0.00275070167338261 0.261250759355534	0.000548628443615529
8000	0.00271380416564392 0.256335467183661	0.00546392061548823
8200	0.00268482669461299 0.26124278936151	0.000556598437639388
8400	0.0026737337884992 0.262772131597001	0.000972743797851172
8600	0.0026319358898194 0.263267811004634	0.00146842320548496
8800	0.00259804333398823 0.262040846669453	0.000241458870303968
9000	0.00258444370560373 0.264340864226174	0.00254147642702418
9200	0.00257921149981213 0.263618044772286	0.00181865697313616
9400	0.0025324879624115 0.259807593486174	0.00199179431297491
9600	0.00251802709694754 0.264586856876571	0.0027874690774215
9800	0.00245542628088967 0.260942993761564	0.000856394037585029
10000	0.00241937838046665 0.265143869630994	0.00334448183184427
